Channel Pedestal CM_slope CM_offset kappa_BXm1
217 88.907795 0.308060 0.532636 0.000000
218 89.021033 0.326656 0.455005 0.000000
219 89.232057 0.153970 0.953628 0.000000
220 86.718002 0.003190 1.155943 0.000000
221 0.000000 0.000000 0.000000 0.000000
222 87.545853 0.351934 0.990577 0.000000
223 88.628688 0.381397 0.607663 0.000000
224 88.422548 0.333289 0.958144 0.000000
225 88.610347 0.054969 0.673111 0.000000
226 88.938796 0.361721 1.172840 0.000000
227 88.002791 0.364558 1.075678 0.000000
228 88.266746 0.180894 0.155423 0.000000
268435648 89.514852 1.038952 -0.449055 0.000000
268435649 90.601974 0.961048 0.449055 0.000000
256 85.956140 0.274869 1.102825 0.000000
257 84.796750 0.277361 1.544756 0.000000
258 83.026316 0.298836 1.189705 0.000000
259 85.978469 0.283969 1.443228 0.000000
260 84.536782 0.293958 0.576786 0.000000
261 86.523026 0.310158 1.656366 0.000000
262 83.498405 0.316705 2.313731 0.000000
263 87.026415 0.282389 1.843866 0.000000
264 86.582337 0.220612 1.622992 0.000000
265 86.823266 0.270859 1.393678 0.000000
266 87.428828 0.302167 1.172995 0.000000
267 86.634270 0.262535 1.744981 0.000000
268 85.086423 0.269712 1.162425 0.000000
269 86.430024 0.277570 1.811805 0.000000
270 86.202253 0.268267 1.095334 0.000000
271 0.000000 0.000000 0.000000 0.000000
272 85.258573 0.298741 1.211080 0.000000
273 85.711324 0.212158 1.265704 0.000000
274 87.322269 0.232417 0.754441 0.000000
275 87.112141 0.300603 1.813322 0.000000
276 88.874103 0.261686 1.177366 0.000000
277 87.452053 0.255407 0.833177 0.000000
278 84.781400 0.271845 1.854310 0.000000
279 86.812301 0.284441 0.849201 0.000000
280 86.001396 0.263476 1.630444 0.000000
281 86.142943 0.303794 1.558166 0.000000
282 85.103369 0.275661 1.063554 0.000000
283 85.104565 0.182488 0.944480 0.000000
284 88.868820 0.248601 0.992224 0.000000
285 86.755084 0.293537 1.815710 0.000000
286 86.282895 0.257656 1.948015 0.000000
287 84.956439 0.297154 2.082596 0.000000
288 86.000000 0.246659 0.547992 0.000000
289 85.975578 0.247164 1.602071 0.000000
290 84.062799 0.251190 1.567340 0.000000
291 86.188497 0.258931 1.122805 0.000000
292 84.909789 0.205086 1.428196 0.000000
268435712 84.945275 0.959147 -3.138245 0.000000
268435713 92.030801 1.040853 3.138245 0.000000
320 88.243421 0.329597 0.749114 0.000000
321 88.449262 0.260832 0.585369 0.000000
322 88.482855 0.342423 0.271291 0.000000
323 87.185008 0.385656 0.302484 0.000000
324 87.452951 0.409428 0.673662 0.000000
325 86.624103 0.436312 0.599467 0.000000
326 87.265351 0.436466 0.410234 0.000000
327 86.017344 0.420662 0.724930 0.000000
328 87.594099 0.158678 0.121826 0.000000
329 88.265052 0.337914 0.353748 0.000000
330 87.410885 0.377463 0.418631 0.000000
331 87.209928 0.409934 0.268358 0.000000
332 86.996312 0.421050 -0.064282 0.000000
333 87.397428 0.427163 0.175039 0.000000
334 88.282994 0.423553 0.070255 0.000000
335 87.547847 0.418520 0.506221 0.000000
336 90.116826 0.474963 -0.179452 0.000000
337 88.608154 0.120823 0.141169 0.000000
338 88.264753 0.145703 0.826376 0.000000
339 89.232456 0.399326 0.564550 0.000000
340 88.612739 0.478045 0.143202 0.000000
341 87.824860 0.487468 0.255214 0.000000
342 89.239234 0.453435 0.034515 0.000000
343 89.290969 0.432453 0.224052 0.000000
344 88.425638 0.416568 0.510788 0.000000
345 88.333034 0.439859 0.059100 0.000000
346 87.738537 0.481100 0.089932 0.000000
347 87.560108 0.148619 0.032569 0.000000
348 88.349282 0.526852 0.050967 0.000000
349 88.242524 0.513798 0.520378 0.000000
350 89.414075 0.530540 0.384601 0.000000
351 87.427133 0.594151 0.044956 0.000000
352 88.641647 0.542440 -0.015233 0.000000
353 88.916069 0.474500 0.557350 0.000000
354 87.793062 0.505436 0.477845 0.000000
355 88.564394 0.534637 -0.101075 0.000000
356 85.621411 0.236842 0.628703 0.000000
268435776 89.411085 0.982256 0.889941 0.000000
268435777 88.592105 1.017744 -0.889941 0.000000
